Event ID,Event Type,Detected On,Start Time,End Time,Confidence,Confidence Score,Duration,Zone,Status,Verified On,Event Sensors,MNF
511,System Event,2024-04-15T02:32:33.1911235,2024-03-31T00:00:00,2024-04-01T23:59:59.999,VeryHigh,9.78,1695,Nanyang,New,2024-04-15T02:32:33.1911236,"nysr_13, nysr_23, nysr_18",1
496,System Event,2024-04-18T06:08:15.1393939,2024-03-30T00:00:00,2024-03-30T23:59:59.999,VeryHigh,10.08,1290,Nanyang,New,2024-04-18T06:08:15.139394,"nysr_23, nysr_18, nysr_22",0
495,System Event,2024-04-05T07:10:27.1398378,2024-03-30T00:00:00,2024-03-30T23:59:59.999,VeryHigh,2.23,1185,Bukit Batok,New,2024-04-05T07:10:27.1398383,bbsr_17,0
507,System Event,2024-04-08T01:15:53.0051093,2024-03-29T00:00:00,2024-03-29T23:59:59.999,VeryHigh,2.75,165,Murnane,New,2024-04-08T01:15:53.0051094,mnsr_38,1
505,System Event,2024-04-18T06:08:15.1564961,2024-03-29T00:00:00,2024-03-29T23:59:59.999,VeryHigh,11.68,1065,Nanyang,New,2024-04-18T06:08:15.1564966,"nysr_26, nysr_22, nysr_23",1
504,System Event,2024-04-18T06:08:15.1495435,2024-03-28T00:00:00,2024-03-28T23:59:59.999,VeryHigh,5.8,1035,Nanyang,New,2024-04-18T06:08:15.1495437,"nysr_41, nysr_18, nysr_23, nysr_26",1
491,System Event,2024-04-18T06:08:15.132004,2024-03-27T00:00:00,2024-03-27T23:59:59.999,VeryHigh,21.77,1425,Murnane,New,2024-04-18T06:08:15.1320041,"mnsr_45, mnsr_38",1
490,System Event,2024-04-15T02:32:45.1683294,2024-03-25T00:00:00,2024-03-25T23:59:59.999,VeryHigh,10.62,780,Murnane,New,2024-04-15T02:32:45.1683295,mnsr_38,1
488,System Event,2024-04-15T02:32:45.1542794,2024-03-24T00:00:00,2024-03-24T23:59:59.999,VeryHigh,4.1,1425,Murnane,New,2024-04-15T02:32:45.1542795,mnsr_14,1
487,System Event,2024-04-03T15:59:35.0421387,2024-03-24T00:00:00,2024-03-24T23:59:59.999,VeryHigh,2.88,180,Nanyang,New,2024-04-03T15:59:35.0421388,"nysr_21, nysr_20",0
489,System Event,2024-04-06T01:38:39.3334723,2024-03-23T00:00:00,2024-03-23T23:59:59.999,VeryHigh,8.18,1425,Murnane,New,2024-04-06T01:38:39.3334725,"mnsr_38, mnsr_45",1
484,System Event,2024-04-08T01:15:52.9552051,2024-03-20T00:00:00,2024-03-20T23:59:59.999,VeryHigh,4.4,765,Nanyang,New,2024-04-08T01:15:52.9552052,nysr_22,1
483,System Event,2024-04-15T02:32:45.1436723,2024-03-19T00:00:00,2024-03-19T23:59:59.999,VeryHigh,5.37,930,Murnane,New,2024-04-15T02:32:45.1436724,mnsr_14,1
482,System Event,2024-04-18T06:08:15.1242483,2024-03-19T00:00:00,2024-03-19T23:59:59.999,VeryHigh,2.4,705,Nanyang,New,2024-04-18T06:08:15.1242484,"nysr_40, nysr_11, nysr_22",1
477,System Event,2024-04-15T02:32:45.1344856,2024-03-18T00:00:00,2024-03-18T23:59:59.999,High,1.55,1185,Murnane,New,2024-04-15T02:32:45.1344857,"mnsr_14, mnsr_38",1
476,System Event,2024-04-02T08:28:51.0504525,2024-03-18T00:00:00,2024-03-18T23:59:59.999,Medium,0.48,645,Bukit Batok,New,2024-04-02T08:28:51.0504526,bbsr_17,0
475,System Event,2024-04-15T02:32:45.1190699,2024-03-13T00:00:00,2024-03-15T23:59:59.999,VeryHigh,15.1,2850,Murnane,New,2024-04-15T02:32:45.1190699,"fcph_44, fcph_33, mnsr_29, mnsr_14",1
473,System Event,2024-04-18T06:08:15.1150029,2024-03-14T00:00:00,2024-03-14T23:59:59.999,High,1.65,210,Nanyang,New,2024-04-18T06:08:15.115003,"western_42, nysr_24",0
472,System Event,2024-04-05T07:10:27.0887876,2024-03-14T00:00:00,2024-03-14T23:59:59.999,High,1.5,195,Bukit Batok,New,2024-04-05T07:10:27.0887877,bbsr_17,0
470,System Event,2024-04-02T08:28:51.0252287,2024-03-13T00:00:00,2024-03-13T23:59:59.999,High,1.52,1245,Bukit Batok,New,2024-04-02T08:28:51.0252287,"bbsr_17, bbsr_11",1
468,System Event,2024-04-18T06:08:15.1044517,2024-03-12T00:00:00,2024-03-12T23:59:59.999,VeryHigh,3.8,900,Nanyang,New,2024-04-18T06:08:15.104452,nysr_18,0
467,System Event,2024-04-03T15:59:34.9860973,2024-03-12T00:00:00,2024-03-12T23:59:59.999,High,0.71,300,Bukit Batok,New,2024-04-03T15:59:34.9860974,bbsr_17,0
469,System Event,2024-03-11T17:43:48.1500047,2024-03-11T00:00:00,2024-03-12T23:59:59.999,VeryHigh,2.51,1890,Sentosa,New,2024-03-12T17:43:42.0529111,"fcph_49, mnsr_50",1
466,System Event,2024-04-05T07:10:27.0723964,2024-03-11T00:00:00,2024-03-11T23:59:59.999,VeryHigh,11.82,165,Murnane,New,2024-04-05T07:10:27.0723966,fcph_54,0
464,System Event,2024-04-03T15:59:34.9700464,2024-03-11T00:00:00,2024-03-11T23:59:59.999,VeryHigh,2.95,930,Nanyang,New,2024-04-03T15:59:34.9700465,"nysr_41, nysr_30",0
463,System Event,2024-03-10T17:47:52.318899,2024-03-10T00:00:00,2024-03-10T23:59:59.999,VeryHigh,14.44,1335,Murnane,New,2024-03-10T17:47:52.3189003,"mnsr_37, mnsr_44",1
462,System Event,2024-04-15T02:32:45.1064699,2024-03-09T00:00:00,2024-03-09T23:59:59.999,VeryHigh,72.35,780,Murnane,New,2024-04-15T02:32:45.10647,"mnsr_37, fcph_44",1
461,System Event,2024-04-15T02:32:45.0921647,2024-03-03T00:00:00,2024-03-08T23:59:59.999,VeryHigh,67.46,7965,Murnane,New,2024-04-15T02:32:45.0921648,"mnsr_37, mnsr_48, fcph_44, mnsr_25, mnsr_14, fcph_33",1
456,System Event,2024-03-04T17:31:36.349379,2024-03-04T00:00:00,2024-03-04T23:59:59.999,High,1.32,420,Bukit Batok,New,2024-03-04T17:31:36.3493805,bbsr_17,1
454,System Event,2024-04-02T08:28:50.9682268,2024-03-01T00:00:00,2024-03-01T23:59:59.999,High,1.62,195,Nanyang,New,2024-04-02T08:28:50.9682269,western_42,0
453,System Event,2024-04-02T08:28:50.9615378,2024-02-29T00:00:00,2024-02-29T23:59:59.999,VeryHigh,8.88,1350,Murnane,New,2024-04-02T08:28:50.9615379,"fcph_44, mnsr_29",1
452,System Event,2024-02-29T17:31:50.4288966,2024-02-29T00:00:00,2024-02-29T23:59:59.999,High,1.2,105,Bukit Batok,New,2024-02-29T17:31:50.4288975,bbsr_13,1
451,System Event,2024-02-29T08:38:57.8435154,2024-02-28T00:00:00,2024-02-28T23:59:59.999,VeryHigh,3.41,720,Murnane,New,2024-02-29T08:38:57.8435164,mnsr_29,1
450,System Event,2024-04-18T06:08:15.0908523,2024-02-27T00:00:00,2024-02-27T23:59:59.999,VeryHigh,13.92,555,Murnane,New,2024-04-18T06:08:15.0908524,mnsr_43,1
449,System Event,2024-04-03T15:59:34.9456726,2024-02-26T00:00:00,2024-02-26T23:59:59.999,VeryHigh,12.99,840,Murnane,New,2024-04-03T15:59:34.9456727,"fcph_33, fcph_32, mnsr_19, fcph_44, mnsr_32, mnsr_11, mnsr_36, mnsr_48, mnsr_12, mnsr_46, mnsr_42, mnsr_29, mnsr_23, mnsr_17, mnsr_39, mnsr_26, mnsr_14, mnsr_13, mnsr_34",1
448,System Event,2024-02-26T17:35:22.4975664,2024-02-26T00:00:00,2024-02-26T23:59:59.999,High,1.61,885,Nanyang,New,2024-02-26T17:35:22.4975675,"nysr_30, nysr_20",0
447,System Event,2024-04-02T08:28:50.9381524,2024-02-26T00:00:00,2024-02-26T23:59:59.999,VeryHigh,2.93,555,Sentosa,New,2024-04-02T08:28:50.9381526,"fcph_49, ssr_NetInflow",1
446,System Event,2024-02-26T17:31:38.7461611,2024-02-26T00:00:00,2024-02-26T23:59:59.999,Medium,0.3,60,Bukit Batok,New,2024-02-26T17:31:38.7461623,bbsr_12,0
445,System Event,2024-04-18T06:08:15.0814821,2024-02-23T00:00:00,2024-02-23T23:59:59.999,VeryHigh,8.14,1395,Murnane,New,2024-04-18T06:08:15.0814824,mnsr_14,0
