,Start Time,Duration,Zone,Event Sensors,T/F
0,2024-03-31T00:00:00,1695,Nanyang,"nysr_13, nysr_23, nysr_18",0
1,2024-03-30T00:00:00,1290,Nanyang,"nysr_23, nysr_18, nysr_22",0
2,2024-03-30T00:00:00,1185,Bukit Batok,bbsr_17,0
3,2024-03-29T00:00:00,165,Murnane,mnsr_38,0
4,2024-03-29T00:00:00,1065,Nanyang,"nysr_26, nysr_22, nysr_23",0
5,2024-03-28T00:00:00,1035,Nanyang,"nysr_41, nysr_18, nysr_23, nysr_26",0
6,2024-03-27T00:00:00,1425,Murnane,"mnsr_45, mnsr_38",0
7,2024-03-25T00:00:00,780,Murnane,mnsr_38,0
8,2024-03-24T00:00:00,1425,Murnane,mnsr_14,0
9,2024-03-24T00:00:00,180,Nanyang,"nysr_21, nysr_20",0
10,2024-03-23T00:00:00,1425,Murnane,"mnsr_38, mnsr_45",0
11,2024-03-20T00:00:00,765,Nanyang,nysr_22,0
12,2024-03-19T00:00:00,930,Murnane,mnsr_14,0
13,2024-03-19T00:00:00,705,Nanyang,"nysr_40, nysr_11, nysr_22",0
14,2024-03-18T00:00:00,1185,Murnane,"mnsr_14, mnsr_38",0
15,2024-03-18T00:00:00,645,Bukit Batok,bbsr_17,0
16,2024-03-13T00:00:00,2850,Murnane,"fcph_44, fcph_33, mnsr_29, mnsr_14",1
17,2024-03-14T00:00:00,210,Nanyang,"western_42, nysr_24",0
18,2024-03-14T00:00:00,195,Bukit Batok,bbsr_17,0
19,2024-03-13T00:00:00,1245,Bukit Batok,"bbsr_17, bbsr_11",0
20,2024-03-12T00:00:00,900,Nanyang,nysr_18,0
21,2024-03-12T00:00:00,300,Bukit Batok,bbsr_17,0
22,2024-03-11T00:00:00,1890,Sentosa,"fcph_49, mnsr_50",0
23,2024-03-11T00:00:00,165,Murnane,fcph_54,0
24,2024-03-11T00:00:00,930,Nanyang,"nysr_41, nysr_30",0
25,2024-03-10T00:00:00,1335,Murnane,"mnsr_37, mnsr_44",0
26,2024-03-09T00:00:00,780,Murnane,"mnsr_37, fcph_44",0
27,2024-03-03T00:00:00,7965,Murnane,"mnsr_37, mnsr_48, fcph_44, mnsr_25, mnsr_14, fcph_33",1
28,2024-03-04T00:00:00,420,Bukit Batok,bbsr_17,0
29,2024-03-01T00:00:00,195,Nanyang,western_42,0
30,2024-02-29T00:00:00,1350,Murnane,"fcph_44, mnsr_29",0
31,2024-02-29T00:00:00,105,Bukit Batok,bbsr_13,0
32,2024-02-28T00:00:00,720,Murnane,mnsr_29,0
33,2024-02-27T00:00:00,555,Murnane,mnsr_43,0
34,2024-02-26T00:00:00,840,Murnane,"fcph_33, fcph_32, mnsr_19, fcph_44, mnsr_32, mnsr_11, mnsr_36, mnsr_48, mnsr_12, mnsr_46, mnsr_42, mnsr_29, mnsr_23, mnsr_17, mnsr_39, mnsr_26, mnsr_14, mnsr_13, mnsr_34",1
35,2024-02-26T00:00:00,885,Nanyang,"nysr_30, nysr_20",0
36,2024-02-26T00:00:00,555,Sentosa,"fcph_49, ssr_NetInflow",0
37,2024-02-26T00:00:00,60,Bukit Batok,bbsr_12,1
38,2024-02-23T00:00:00,1395,Murnane,mnsr_14,0
39,2024-02-22T00:00:00,1290,Murnane,"mnsr_13, mnsr_14, mnsr_26",0
40,2024-02-22T00:00:00,1320,Nanyang,"nysr_26, nysr_25, western_42, nysr_18, nysr_24, nysr_27",0
41,2024-02-21T00:00:00,75,Bukit Batok,bbsr_17,0
42,2024-02-20T00:00:00,2775,Murnane,"mnsr_13, fcph_47, mnsr_29, mnsr_30, mnsr_39, mnsr_44, fcph_44, mnsr_31",1
43,2024-02-20T00:00:00,990,Sentosa,"fcph_49, ssr_NetInflow",0
44,2024-02-20T00:00:00,45,Bukit Batok,western_43,0
45,2024-02-19T00:00:00,1305,Murnane,"mnsr_44, mnsr_39, mnsr_42, mnsr_24, mnsr_17, mnsr_13, fcph_47, fcph_33, fcph_32, mnsr_41, mnsr_31, mnsr_29, mnsr_46, mnsr_26, mnsr_11",1
46,2024-02-19T00:00:00,1005,Nanyang,"nysr_30, western_42, nysr_41",0
47,2024-02-18T00:00:00,1500,Bukit Batok,"bbsr_12, bbsr_16, bbsr_11",0
48,2024-02-18T00:00:00,870,Murnane,"mnsr_44, fcph_47",0
49,2024-02-17T00:00:00,1305,Murnane,"mnsr_26, mnsr_31, mnsr_39, mnsr_24, mnsr_13, mnsr_29, mnsr_46",1
50,2024-02-17T00:00:00,690,Sentosa,fcph_49,0
51,2024-02-17T00:00:00,750,Murnane,"mnsr_31, mnsr_39, mnsr_24, mnsr_13, mnsr_29, mnsr_46",1
52,2024-02-16T00:00:00,165,Nanyang,nysr_24,0
53,2024-02-16T00:00:00,90,Murnane,fcph_47,0
54,2024-02-15T00:00:00,2445,Bukit Batok,bbsr_13,0
55,2024-02-14T00:00:00,960,Nanyang,"nysr_15, nysr_34",0
56,2024-02-14T00:00:00,135,Murnane,mnsr_44,0
57,2024-02-13T00:00:00,90,Nanyang,nysr_40,0
58,2024-02-10T00:00:00,2145,Murnane,mnsr_14,0
59,2024-02-09T00:00:00,75,Murnane,mnsr_31,1
60,2024-02-09T00:00:00,255,Bukit Batok,bbsr_12,0
61,2024-02-08T00:00:00,90,Murnane,mnsr_30,1
62,2024-02-08T00:00:00,1215,Nanyang,western_42,0
63,2024-02-06T00:00:00,2865,Murnane,"mnsr_14, mnsr_29, mnsr_44, mnsr_24, mnsr_46",1
64,2024-02-05T00:00:00,2505,Nanyang,"nysr_27, nysr_24, nysr_25, western_42",0
65,2024-02-05T00:00:00,990,Murnane,"fcph_44, mnsr_44, mnsr_32, mnsr_14, mnsr_46, mnsr_29, mnsr_13",1
66,2024-02-03T00:00:00,810,Murnane,mnsr_44,0
67,2024-02-02T00:00:00,75,Bukit Batok,bbsr_16,0
68,2024-01-31T00:00:00,4290,Murnane,"mnsr_37, mnsr_44, mnsr_14, fcph_47, mnsr_29",1
69,2024-01-31T00:00:00,1110,Sentosa,"ssr_NetInflow, fcph_48",0
70,2024-01-30T00:00:00,1425,Murnane,"mnsr_14, mnsr_37",0
71,2024-01-30T00:00:00,750,Nanyang,nysr_28,0
72,2024-01-29T00:00:00,1425,Murnane,"fcph_47, fcph_44, mnsr_37, mnsr_14, mnsr_13, mnsr_NetInflow",0
73,2024-01-28T00:00:00,1380,Murnane,"mnsr_29, mnsr_37, mnsr_13",1
74,2024-01-27T00:00:00,1425,Murnane,"mnsr_46, mnsr_44, mnsr_24, mnsr_13, fcph_44",1
75,2024-01-27T00:00:00,195,Nanyang,nysr_26,0
76,2024-01-25T00:00:00,2655,Murnane,"mnsr_37, mnsr_13, mnsr_29, mnsr_11",1
77,2024-01-23T00:00:00,375,Bukit Batok,bbsr_16,0
78,2024-01-22T00:00:00,1230,Murnane,"mnsr_43, mnsr_24, mnsr_31",1
79,2024-01-21T00:00:00,90,Murnane,fcph_47,0
80,2024-01-19T00:00:00,45,Bukit Batok,bbsr_16,0
81,2024-01-19T00:00:00,780,Murnane,"fcph_47, mnsr_43",0
82,2024-01-12T00:00:00,11385,Sentosa,"fcph_49, ssr_NetInflow",0
83,2024-01-15T00:00:00,2190,Murnane,fcph_47,0
84,2024-01-13T00:00:00,2625,Murnane,"mnsr_44, fcph_44",0
85,2024-01-13T00:00:00,2520,Nanyang,nysr_27,0
86,2024-01-12T00:00:00,1380,Nanyang,"nysr_27, nysr_41",1
87,2024-01-11T00:00:00,2625,Murnane,mnsr_44,0
88,2024-01-10T00:00:00,1020,Murnane,mnsr_48,0
89,2024-01-08T00:00:00,2850,Murnane,"mnsr_48, mnsr_39, fcph_47, mnsr_19, mnsr_42, mnsr_44",1
90,2024-01-08T00:00:00,1230,Sentosa,"fcph_49, ssr_NetInflow",0
91,2024-01-08T00:00:00,1245,Bukit Batok,bbsr_17,0
92,2024-01-08T00:00:00,855,Nanyang,"nysr_28, nysr_41, nysr_30, nysr_14",1
93,2024-01-07T00:00:00,1350,Murnane,"mnsr_48, mnsr_44",0
94,2024-01-06T00:00:00,300,Bukit Batok,bbsr_12,0
95,2024-01-05T00:00:00,2850,Murnane,"mnsr_48, fcph_47",0
96,2024-01-05T00:00:00,435,Sentosa,fcph_49,0
97,2024-01-04T00:00:00,1005,Murnane,mnsr_11,0
98,2024-01-03T00:00:00,930,Murnane,mnsr_48,0
99,2024-01-03T00:00:00,510,Nanyang,nysr_27,0
100,2024-01-02T00:00:00,885,Bukit Batok,bbsr_16,0
101,2024-01-02T00:00:00,1290,Murnane,"fcph_44, mnsr_33, mnsr_41, mnsr_30",1
102,2024-01-02T00:00:00,960,Nanyang,nysr_30,0
103,2024-01-01T00:00:00,2205,Sentosa,fcph_49,0
